Nodes,Hops,Platform,Min,Max,Mean,Median,Std Dev
R1-R2,1,Mininet,59119.521,73235.699,68352.624,68631.064,2542.213
R1-R2,1,SEED IE,50900.795,64288.973,59816.352,60075.315,2337.698
R1-R3,2,Mininet,19028.431,64287.989,61410.709,62329.53,5646.852
R1-R3,2,SEED IE,43928.42,54310.315,50319.282,50637.542,1964.611
R3-R2,1,Mininet,9631.538,72516.351,67070.475,68441.669,8379.272
R3-R2,1,SEED IE,52436.811,65262.603,60062.285,60039.235,2068.2
R3-R6,2,Mininet,46129.372,58019.494,55363.98,55767.773,1774.886
R3-R6,2,SEED IE,36827.408,47722.227,43231.676,43623.529,2078.644
R1-R6,1,Mininet,26600.063,72493.915,67878.671,68643.414,5023.073
R1-R6,1,SEED IE,50608.766,64599.467,59723.269,59924.858,2366.916
R2-R5,2,Mininet,16052.328,59221.719,55109.454,56115.995,5137.281
R2-R5,2,SEED IE,36898.097,46624.151,43503.03,43779.993,1824.166
R4-R5,1,Mininet,26448.57,72662.162,68048.559,68871.912,4880.088
R4-R5,1,SEED IE,52250.298,65495.209,60338.557,60571.335,2234.742
R4-R6,2,Mininet,28839.995,65054.191,61737.063,62212.693,3661.37
R4-R6,2,SEED IE,5155.645,53386.288,49522.168,50374.84,5020.997
R6-R1,1,Mininet,23438.181,71873.867,67188.114,68354.769,6517.971
R6-R1,1,SEED IE,54070.618,64794.234,60281.291,60324.397,1896.153
