Nodes,Hops,Platform,Min,Max,Mean,Median,Std Dev
R1-R2,1,Mininet,2.067,16.299,8.081,8.761,2.411
R1-R2,1,SEED IE,0.084,0.926,0.283,0.253,0.14
R1-R3,2,Mininet,2.277,43.355,8.253,8.792,4.992
R1-R3,2,SEED IE,0.084,0.926,0.283,0.253,0.14
R3-R2,1,Mininet,1.979,61.611,8.213,8.673,5.945
R3-R2,1,SEED IE,0.084,0.926,0.283,0.253,0.14
R3-R6,2,Mininet,2.198,17.586,8.586,8.863,1.967
R3-R6,2,SEED IE,0.084,0.926,0.283,0.253,0.14
R1-R6,1,Mininet,2.246,38.096,8.01,8.756,4.105
R1-R6,1,SEED IE,0.084,0.926,0.283,0.253,0.14
R2-R5,2,Mininet,2.572,46.193,8.868,8.87,5.102
R2-R5,2,SEED IE,0.084,0.926,0.283,0.253,0.14
R4-R5,1,Mininet,2.363,41.428,8.171,8.844,4.393
R4-R5,1,SEED IE,0.084,0.926,0.283,0.253,0.14
R4-R6,2,Mininet,3.03,35.286,8.85,8.886,3.214
R4-R6,2,SEED IE,0.084,0.926,0.283,0.253,0.14
R6-R1,1,Mininet,1.574,43.287,8.169,8.801,5.23
R6-R1,1,SEED IE,0.084,0.926,0.283,0.253,0.14
