Test,Samples,Min_ms,Max_ms,Mean_ms,Median_ms,Std_Dev_ms
R1 → SEED_GATEWAY,500,0.013,1.99,0.105,0.065,0.163
R1 → SR1,500,0.021,1.28,0.127,0.081,0.159
R1 → SR2,500,0.021,3.11,0.224,0.118,0.304
R1 → SR3,500,0.028,2.25,0.198,0.123,0.239
R1 → SR4,500,0.029,3.33,0.269,0.136,0.359
R1 → SR5,500,0.033,2.85,0.374,0.19,0.399
R1 → SR6,500,0.023,2.55,0.219,0.117,0.286
R2 → SEED_GATEWAY,500,0.018,4.58,0.114,0.078,0.244
R2 → SR1,500,0.022,6.38,0.237,0.111,0.393
R2 → SR2,500,0.025,3.37,0.216,0.124,0.321
R2 → SR3,500,0.029,2.72,0.215,0.14,0.279
R2 → SR4,500,0.037,1.98,0.223,0.153,0.241
R2 → SR5,500,0.039,7.9,0.22,0.147,0.416
R2 → SR6,500,0.03,2.72,0.243,0.138,0.285
R3 → SEED_GATEWAY,500,0.022,0.875,0.112,0.08,0.121
R3 → SR1,500,0.024,4.3,0.259,0.126,0.382
R3 → SR2,500,0.032,1.17,0.158,0.126,0.138
R3 → SR3,500,0.054,3.4,0.161,0.116,0.245
R3 → SR4,500,0.062,4.35,0.252,0.142,0.345
R3 → SR5,500,0.072,48.0,0.283,0.126,2.165
R3 → SR6,500,0.048,1.85,0.167,0.114,0.165
R4 → SEED_GATEWAY,500,0.037,1.64,0.173,0.106,0.209
R4 → SR1,500,0.048,2.35,0.276,0.152,0.303
R4 → SR2,500,0.052,1.87,0.206,0.155,0.198
R4 → SR3,500,0.062,2.24,0.291,0.179,0.286
R4 → SR4,500,0.066,2.57,0.284,0.18,0.282
R4 → SR5,500,0.076,3.83,0.269,0.184,0.25
R4 → SR6,500,0.058,2.16,0.219,0.146,0.202
R5 → SEED_GATEWAY,500,0.032,3.9,0.173,0.088,0.291
R5 → SR1,500,0.046,3.39,0.198,0.124,0.278
R5 → SR2,500,0.049,2.3,0.261,0.157,0.268
R5 → SR3,500,0.053,2.23,0.258,0.168,0.245
R5 → SR4,500,0.057,3.29,0.244,0.169,0.271
R5 → SR5,500,0.053,7.68,0.348,0.209,0.463
R5 → SR6,500,0.041,2.73,0.271,0.154,0.297
R6 → SEED_GATEWAY,500,0.03,6.27,0.162,0.09,0.347
R6 → SR1,500,0.035,2.31,0.137,0.103,0.181
R6 → SR2,500,0.035,1.89,0.156,0.126,0.156
R6 → SR3,500,0.045,2.76,0.255,0.156,0.275
R6 → SR4,500,0.055,4.43,0.224,0.148,0.296
R6 → SR5,500,0.059,2.22,0.294,0.19,0.283
R6 → SR6,500,0.038,3.19,0.211,0.119,0.254
