Nodes,Hops,Platform,Min,Max,Mean,Median,Std Dev
R1-R2,1,Mininet,7.066,10.058,9.41,9.423,0.268
R1-R2,1,SEED IE,10.571,10.903,10.717,10.702,0.084
R1-R3,2,Mininet,8.364,10.2,9.426,9.432,0.167
R1-R3,2,SEED IE,10.571,10.903,10.717,10.702,0.084
R3-R2,1,Mininet,8.827,10.042,9.43,9.43,0.139
R3-R2,1,SEED IE,10.571,10.903,10.717,10.702,0.084
R3-R6,2,Mininet,8.956,10.19,9.431,9.431,0.144
R3-R6,2,SEED IE,10.571,10.903,10.717,10.702,0.084
R1-R6,1,Mininet,8.964,9.988,9.431,9.435,0.13
R1-R6,1,SEED IE,10.571,10.903,10.717,10.702,0.084
R2-R5,2,Mininet,9.31,10.112,9.436,9.434,0.128
R2-R5,2,SEED IE,10.571,10.903,10.717,10.702,0.084
R4-R5,1,Mininet,9.299,10.426,9.439,9.441,0.145
R4-R5,1,SEED IE,10.571,10.903,10.717,10.702,0.084
R4-R6,2,Mininet,9.316,9.905,9.432,9.441,0.11
R4-R6,2,SEED IE,10.571,10.903,10.717,10.702,0.084
R6-R1,1,Mininet,9.3,9.965,9.438,9.444,0.124
R6-R1,1,SEED IE,10.571,10.903,10.717,10.702,0.084
