Nodes,Hops,Platform,Min,Max,Mean,Median,Std Dev
R1-R2,1,Mininet,16072.344,71520.607,58894.067,67144.231,17597.179
R1-R2,1,SEED IE,50701.942,63922.93,59405.561,59675.92,2297.775
R1-R3,2,Mininet,17148.912,63593.595,50928.509,60812.385,17751.86
R1-R3,2,SEED IE,43750.049,53980.373,49845.976,50121.389,2062.375
R3-R2,1,Mininet,3634.214,70695.781,56417.578,66743.337,19731.218
R3-R2,1,SEED IE,51141.51,64876.675,59641.497,59616.615,2103.227
R3-R6,2,Mininet,16271.096,57357.249,51931.125,54903.444,9643.425
R3-R6,2,SEED IE,36682.38,47410.315,42883.837,43330.718,2042.963
R1-R6,1,Mininet,19825.882,71399.042,55245.678,67098.454,19935.945
R1-R6,1,SEED IE,50406.53,64184.719,59305.701,59470.579,2369.657
R2-R5,2,Mininet,15671.771,58551.87,50726.374,55189.431,11842.651
R2-R5,2,SEED IE,36742.513,46374.986,43218.746,43498.545,1802.239
R4-R5,1,Mininet,18230.693,71232.994,56230.293,66800.155,19358.484
R4-R5,1,SEED IE,38893.277,65197.507,59789.669,60266.727,3064.073
R4-R6,2,Mininet,17400.317,64481.579,56477.576,61195.359,12474.816
R4-R6,2,SEED IE,2791.791,53096.622,49003.886,50035.028,5337.207
R6-R1,1,Mininet,10759.421,71151.817,53035.414,66633.889,21101.568
R6-R1,1,SEED IE,52969.168,64377.407,59894.397,59956.758,1921.936
