Platform,Nodes,Hops,Max,Min,Avg,StdDev,Median,Jitter,Count
Mininet,R1-R2,1,8.64,0.014,0.165679,0.707569,0.03,0.243812,5000
Mininet,R1-R3,2,17.1,0.021,0.216162,0.923291,0.038,0.319841,5000
Mininet,R3-R2,1,9.67,0.016,0.178644,0.761394,0.031,0.265965,5000
Mininet,R3-R6,3,13.3,0.026,0.241729,0.963517,0.043,0.352658,5000
Mininet,R1-R6,1,17.7,0.016,0.176176,0.775167,0.03,0.263521,5000
Mininet,R2-R5,3,19.4,0.027,0.229123,0.914735,0.043,0.329523,5000
Mininet,R4-R5,1,15.8,0.017,0.149517,0.67587,0.031,0.215721,5000
Mininet,R4-R6,2,12.8,0.023,0.200847,0.83509,0.038,0.290087,5000
Mininet,R6-R1,1,11.9,0.016,0.185542,0.772595,0.03,0.28039,5000
SEED IE,R1-R2,1,29.9,0.028,0.657543,2.206505,0.047,1.050085,5000
SEED IE,R1-R3,2,58.2,0.036,0.831277,3.11869,0.059,1.323643,5000
SEED IE,R3-R2,1,29.0,0.027,0.568087,2.027861,0.047,0.905998,5000
SEED IE,R3-R6,3,52.5,0.043,0.979308,3.577569,0.07,1.560794,5000
SEED IE,R1-R6,1,38.9,0.026,0.62627,2.142541,0.047,0.999368,5000
SEED IE,R2-R5,3,42.0,0.038,0.905448,3.320454,0.068,1.425995,5000
SEED IE,R4-R5,1,28.2,0.021,0.626963,2.100114,0.046,1.001913,5000
SEED IE,R4-R6,2,64.3,0.035,0.783209,2.957289,0.059,1.244071,5000
SEED IE,R6-R1,1,52.0,0.018,0.59378,2.039654,0.047,0.936576,5000
