iteration,failure_ms,recovery_ms
1,53.712,29.861
2,34.668,31.838
3,30.772,33.066
4,48.59,50.489
5,46.952,40.077
6,28.218,56.348
7,30.75,35.404
8,41.271,35.458
9,34.884,36.252
10,32.186,46.838
11,34.832,31.207
12,40.786,54.089
13,55.091,45.623
14,44.502,57.749
15,40.157,31.223
16,54.336,38.028
17,41.504,60.452
18,62.696,40.794
19,60.72,43.529
20,40.766,36.124
21,40.418,37.631
22,36.321,41.633
23,31.123,32.211
24,28.792,42.515
25,51.669,33.004
26,50.705,33.959
27,39.547,40.399
28,46.779,34.567
29,37.147,47.375
30,35.882,40.689
31,27.748,29.581
32,35.029,27.798
33,55.864,36.531
34,48.516,44.85
35,54.78,45.18
36,43.154,65.944
37,46.177,46.756
38,37.665,40.575
39,45.845,35.203
40,32.014,50.081
41,36.698,40.335
42,51.717,46.877
43,33.429,39.72
44,37.399,32.246
45,30.745,38.323
46,59.068,42.597
47,44.928,48.885
48,29.869,39.973
49,37.367,28.997
50,53.419,75.214
51,65.778,49.608
52,27.081,28.02
53,35.516,42.344
54,67.274,32.411
55,45.845,33.297
56,35.835,39.784
57,36.502,40.933
58,31.495,42.913
59,33.752,44.664
60,54.548,30.999
61,29.659,35.003
62,30.247,40.583
63,35.348,29.078
64,42.858,48.583
65,43.63,36.585
66,35.965,41.521
67,56.403,38.425
68,66.471,39.844
69,42.596,43.62
70,50.766,37.323
71,41.727,44.025
72,40.728,39.272
73,39.623,49.994
74,26.884,48.208
75,33.956,59.368
76,27.528,26.945
77,52.45,38.004
78,28.521,39.849
79,48.824,38.841
80,36.885,24.369
81,32.188,43.732
82,27.751,36.61
83,29.593,33.118
84,63.466,35.482
85,49.163,28.131
86,53.21,35.517
87,34.795,32.328
88,38.999,35.976
89,32.823,39.029
90,48.517,39.475
91,54.428,35.307
92,33.046,40.41
93,36.802,30.092
94,40.291,39.362
95,56.316,40.988
96,34.298,46.606
97,40.249,27.172
98,39.421,30.446
99,34.133,29.914
100,33.008,36.279
