iteration,iteration_started_at,sample_started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:10.725962,R1-R2,r1_r2,1,r1,r2,10.0.12.2,1,True,36.05022,0.043,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:10.774588,R1-R2,r1_r2,1,r1,r2,10.0.12.2,2,True,40.006672,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:10.826307,R1-R2,r1_r2,1,r1,r2,10.0.12.2,3,True,37.471554,0.038,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:10.874131,R1-R2,r1_r2,1,r1,r2,10.0.12.2,4,True,35.809712,0.154,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:10.920459,R1-R2,r1_r2,1,r1,r2,10.0.12.2,5,True,39.420042,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:10.970477,R1-R2,r1_r2,1,r1,r2,10.0.12.2,6,True,45.47952,0.039,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.026979,R1-R2,r1_r2,1,r1,r2,10.0.12.2,7,True,37.475162,0.037,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.074579,R1-R2,r1_r2,1,r1,r2,10.0.12.2,8,True,33.389947,0.125,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.118671,R1-R2,r1_r2,1,r1,r2,10.0.12.2,9,True,53.392511,5.9,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.182856,R1-R2,r1_r2,1,r1,r2,10.0.12.2,10,True,30.423079,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.223460,R1-R2,r1_r2,1,r1,r2,10.0.12.2,11,True,25.434312,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.259116,R1-R2,r1_r2,1,r1,r2,10.0.12.2,12,True,27.33153,0.294,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.296705,R1-R2,r1_r2,1,r1,r2,10.0.12.2,13,True,31.316244,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:11.338221,R1-R2,r1_r2,1,r1,r2,10.0.12.2,14,True,33.482599,0.041,0.0
