iteration,started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,success,bandwidth_bps,throughput_bps,cpu_percent,memory_before_mb,memory_before_percent,memory_after_mb,memory_after_percent,duration_requested_s,elapsed_ms,error
1,2026-04-24T15:05:52.947521,R1-R2,r1_r2,1,r1,r2,10.0.12.2,True,68342558416.3612,67648691771.1499,9.75775,2366.539062,9.813208,2338.535156,9.697086,5,5254.951609,
1,2026-04-24T15:06:01.303667,R1-R3,r1_r3,2,r1,r3,10.0.23.2,True,60954234508.20216,19946110739.04933,4.593191,2328.277344,9.65455,2267.621094,9.40303,5,15412.732989,
1,2026-04-24T15:06:18.661074,R3-R2,r3_r2,1,r3,r2,10.0.23.1,True,68297820333.44207,21816752528.573345,5.012432,2272.300781,9.422435,2350.964844,9.748627,5,15782.484647,
1,2026-04-24T15:06:36.235249,R3-R6,r3_r6,3,r3,r6,10.0.56.2,True,53673591364.6199,17813844722.91369,2.378249,2347.007812,9.732219,2259.660156,9.370019,5,15194.49167,
1,2026-04-24T15:06:54.994514,R1-R6,r1_r6,1,r1,r6,10.0.61.1,True,70359472981.2323,69709216557.3467,9.063136,2266.933594,9.400179,2266.859375,9.399871,5,5244.885884,
1,2026-04-24T15:07:02.770044,R2-R5,r2_r5,3,r2,r5,10.0.45.2,True,54590137703.4807,54124172940.2077,2.774275,2267.515625,9.402593,2265.878906,9.395806,5,5230.891482,
1,2026-04-24T15:07:10.563163,R4-R5,r4_r5,1,r4,r5,10.0.45.2,True,68278728765.36987,66603578795.15403,8.974996,2268.0,9.404601,2265.144531,9.39276,5,5380.157046,
1,2026-04-24T15:07:18.322164,R4-R6,r4_r6,2,r4,r6,10.0.56.2,True,61623788565.10982,61135701454.08672,8.728011,2267.566406,9.402803,2264.214844,9.388905,5,5277.741059,
1,2026-04-24T15:07:25.840428,R6-R1,r6_r1,1,r6,r1,10.0.61.2,True,69084845517.15144,68402110861.7804,9.283909,2352.964844,9.75692,2256.734375,9.357886,5,5287.528173,
2,2026-04-24T15:07:36.578186,R1-R2,r1_r2,1,r1,r2,10.0.12.2,True,67529614236.557976,66012181950.66342,8.563856,2259.558594,9.369598,2258.90625,9.366892,5,5385.737425,
2,2026-04-24T15:07:44.788315,R1-R3,r1_r3,2,r1,r3,10.0.23.2,True,63065633983.86406,62569047543.6835,8.37884,2259.917969,9.371088,2258.820312,9.366536,5,5256.261317,
2,2026-04-24T15:07:51.946762,R3-R2,r3_r2,1,r3,r2,10.0.23.1,True,67928419546.98832,66271208983.15025,8.808725,2260.074219,9.371736,2257.511719,9.36111,5,5302.402442,
2,2026-04-24T15:07:59.902886,R3-R6,r3_r6,3,r3,r6,10.0.56.2,True,56590703833.56652,56182629717.920525,8.762451,2259.742188,9.370359,2253.164062,9.343082,5,5267.504122,
2,2026-04-24T15:08:07.658951,R1-R6,r1_r6,1,r1,r6,10.0.61.1,True,70510275216.19855,69720514984.80745,8.492965,2254.269531,9.347666,2250.039062,9.330123,5,5253.084675,
2,2026-04-24T15:08:15.055353,R2-R5,r2_r5,3,r2,r5,10.0.45.2,True,55060202233.27642,54475786619.90406,8.934822,2254.011719,9.346597,2253.050781,9.342612,5,5323.853162,
2,2026-04-24T15:08:22.538400,R4-R5,r4_r5,1,r4,r5,10.0.45.2,True,66595397341.25259,65611461899.849236,8.903182,2254.269531,9.347666,2249.800781,9.329135,5,5262.014133,
2,2026-04-24T15:08:29.482448,R4-R6,r4_r6,2,r4,r6,10.0.56.2,True,60545198421.86178,59746649809.49205,7.702772,2252.972656,9.342288,2246.835938,9.316841,5,5239.178825,
