iteration,timestamp,failure_ms,recovery_ms
1,2026-04-24T16:41:21.371800,1001.085,221.135
2,2026-04-24T16:41:22.125775,238.557,101.036
3,2026-04-24T16:41:22.858157,140.907,148.733
4,2026-04-24T16:41:23.585336,256.891,171.98
5,2026-04-24T16:41:24.279654,202.57,145.301
6,2026-04-24T16:41:24.897425,171.582,134.692
7,2026-04-24T16:41:25.792899,156.609,193.291
8,2026-04-24T16:41:26.546456,162.681,263.64
9,2026-04-24T16:41:27.228334,131.326,157.455
10,2026-04-24T16:41:28.064679,216.602,224.041
11,2026-04-24T16:41:28.879328,166.289,138.22
12,2026-04-24T16:41:29.619013,235.228,160.847
13,2026-04-24T16:41:30.435274,179.053,173.318
14,2026-04-24T16:41:31.299134,199.991,139.259
15,2026-04-24T16:41:32.079183,231.142,238.696
16,2026-04-24T16:41:32.836638,209.264,201.869
17,2026-04-24T16:41:33.450765,180.294,144.416
18,2026-04-24T16:41:34.078401,153.124,140.739
19,2026-04-24T16:41:34.900516,230.658,127.094
20,2026-04-24T16:41:35.678666,193.489,106.115
21,2026-04-24T16:41:36.623798,148.043,209.141
22,2026-04-24T16:41:37.281225,238.324,90.588
23,2026-04-24T16:41:38.003275,191.562,241.465
24,2026-04-24T16:41:38.696214,164.458,199.132
25,2026-04-24T16:41:39.522663,178.552,223.712
26,2026-04-24T16:41:40.102489,137.652,147.779
27,2026-04-24T16:41:40.791926,176.546,251.626
28,2026-04-24T16:41:41.935015,204.233,440.418
29,2026-04-24T16:41:42.916292,259.067,270.018
30,2026-04-24T16:41:43.710397,188.522,186.885
31,2026-04-24T16:41:44.541088,187.338,194.918
32,2026-04-24T16:41:45.141356,237.5,127.173
33,2026-04-24T16:41:45.991366,267.856,167.782
34,2026-04-24T16:41:46.736205,157.722,196.042
35,2026-04-24T16:41:47.738480,257.218,193.644
36,2026-04-24T16:41:48.620099,87.186,378.379
37,2026-04-24T16:41:49.478076,167.483,386.77
38,2026-04-24T16:41:50.800738,287.378,349.476
39,2026-04-24T16:41:52.187824,316.692,339.197
40,2026-04-24T16:41:52.904999,116.761,135.751
41,2026-04-24T16:41:53.518712,150.637,101.43
42,2026-04-24T16:41:54.262804,159.22,212.935
43,2026-04-24T16:41:55.257262,190.216,295.686
44,2026-04-24T16:41:55.939591,181.031,142.702
45,2026-04-24T16:41:56.687738,178.898,148.209
46,2026-04-24T16:41:57.576923,140.779,175.451
47,2026-04-24T16:41:58.377064,130.676,186.776
48,2026-04-24T16:41:59.060868,170.477,212.304
49,2026-04-24T16:41:59.827972,204.014,182.994
50,2026-04-24T16:42:00.647878,248.776,297.521
51,2026-04-24T16:42:01.415718,125.785,230.309
52,2026-04-24T16:42:02.052449,134.291,122.93
53,2026-04-24T16:42:02.960523,178.072,187.256
54,2026-04-24T16:42:03.733124,165.886,150.05
55,2026-04-24T16:42:04.597105,132.316,197.31
56,2026-04-24T16:42:05.375122,157.052,157.549
57,2026-04-24T16:42:06.033308,214.836,121.618
58,2026-04-24T16:42:06.764448,243.895,144.126
59,2026-04-24T16:42:07.555340,106.516,209.91
60,2026-04-24T16:42:08.659269,265.07,250.863
61,2026-04-24T16:42:09.336052,209.859,113.833
62,2026-04-24T16:42:10.106032,235.366,180.03
63,2026-04-24T16:42:10.905713,188.903,172.738
64,2026-04-24T16:42:11.712582,263.893,142.27
65,2026-04-24T16:42:12.392538,134.769,209.865
66,2026-04-24T16:42:13.308302,150.405,260.681
67,2026-04-24T16:42:14.074150,230.001,163.86
68,2026-04-24T16:42:14.796045,212.196,152.482
69,2026-04-24T16:42:15.517598,157.254,185.199
70,2026-04-24T16:42:16.286518,205.188,126.146
71,2026-04-24T16:42:16.935914,201.193,90.123
72,2026-04-24T16:42:17.550895,130.139,116.866
73,2026-04-24T16:42:18.518213,173.095,323.53
74,2026-04-24T16:42:19.335862,134.647,294.213
75,2026-04-24T16:42:20.277798,229.017,270.96
76,2026-04-24T16:42:21.310743,276.691,243.354
77,2026-04-24T16:42:22.132296,224.96,195.634
78,2026-04-24T16:42:22.858744,180.038,173.752
79,2026-04-24T16:42:23.746668,297.159,297.207
80,2026-04-24T16:42:24.760416,260.272,257.905
81,2026-04-24T16:42:25.557049,259.386,226.076
82,2026-04-24T16:42:26.416800,163.132,132.81
83,2026-04-24T16:42:27.249587,138.444,120.331
84,2026-04-24T16:42:28.050061,160.327,111.997
85,2026-04-24T16:42:28.795774,143.479,124.986
86,2026-04-24T16:42:29.685355,363.326,148.017
87,2026-04-24T16:42:30.536253,143.044,227.466
88,2026-04-24T16:42:31.299367,206.2,230.446
89,2026-04-24T16:42:32.267731,168.786,183.49
90,2026-04-24T16:42:33.055447,197.054,122.997
91,2026-04-24T16:42:33.813609,136.853,137.045
92,2026-04-24T16:42:34.560575,101.812,203.697
93,2026-04-24T16:42:35.259589,130.828,199.574
94,2026-04-24T16:42:36.115371,155.737,232.768
95,2026-04-24T16:42:36.978711,216.73,170.159
96,2026-04-24T16:42:37.774326,147.492,217.956
97,2026-04-24T16:42:38.446881,132.157,186.136
98,2026-04-24T16:42:39.154325,101.945,113.537
99,2026-04-24T16:42:39.750069,119.958,130.941
100,2026-04-24T16:42:40.605465,313.8,184.049
