iteration,iteration_started_at,sample_timestamp,pair,pair_key,hops,src_container,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct,error
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:47.883706,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,1,True,238.46912,0.045,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:48.133326,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,2,True,155.001174,0.753,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:48.299101,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,3,True,226.613983,0.053,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:48.536116,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,4,True,246.856415,0.373,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:48.793108,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,5,True,209.147739,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:49.013140,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,6,True,262.984927,0.159,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:49.286953,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,7,True,314.560523,0.039,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:49.612305,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,8,True,298.284743,0.05,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:49.920874,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,9,True,258.286089,0.032,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:50.189460,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,10,True,366.400606,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:05:50.568208,R1-R2,r1_r2,1,as100r-r1-10.0.12.254,10.0.12.253,11,True,291.082181,0.181,0.0,
